거래시간,종목코드,현재가,상승확률(%),기대수익,예상손실,손익비,주문수량,주문종류,주문결과,상증확률(%)
2025-07-16 13:19:47.319934,14830.0,88500.0,75.0,5550.66,5494.9,1.65,48.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 13:19:51.058535,90430.0,135500.0,82.0,8546.2,7350.47,1.65,41.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 13:19:54.841252,34950.0,100400.0,86.0,4851.46,2941.73,1.65,146.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 13:30:09.812301,14830.0,88200.0,76.0,5009.02,5477.74,1.98,7.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 13:30:13.559784,90430.0,135200.0,79.0,8055.66,7124.39,1.98,2.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 13:30:17.279691,34950.0,100500.0,87.0,5338.32,2694.48,1.98,36.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 13:40:32.406667,14830.0,88300.0,78.0,5213.82,6061.36,1.42,1.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 13:40:36.183365,34950.0,100400.0,84.0,4388.73,3082.91,1.42,45.0,매도,모의투자 잔고내역이 없습니다.,
2025-07-16 13:50:51.219572,14830.0,88200.0,83.0,7471.63,4821.01,1.52,36.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 13:50:54.942170,90430.0,134800.0,80.0,7703.2,7320.05,1.52,5.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 13:50:58.656732,34950.0,100400.0,86.0,4773.31,3142.48,1.52,65.0,매도,모의투자 잔고내역이 없습니다.,
2025-07-16 14:01:13.870511,14830.0,88300.0,82.0,6256.06,5486.2,1.56,27.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 14:01:17.645846,90430.0,134100.0,85.0,8301.27,6226.37,1.56,19.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 14:01:21.360996,34950.0,100300.0,85.0,4897.53,3135.37,1.56,59.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 14:11:36.402675,14830.0,88200.0,77.0,5836.59,5697.27,1.57,3.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 14:11:40.143577,90430.0,133950.0,82.0,8057.44,7455.05,1.57,14.0,매도,모의투자 주문처리가 안되었습니다(호가단위 오류),
2025-07-16 14:11:43.880839,34950.0,100300.0,87.0,4640.69,2955.22,1.57,21.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 14:21:59.164972,14830.0,88300.0,77.0,4578.33,6257.46,1.75,15.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 14:22:02.931981,90430.0,134100.0,76.0,7921.16,7847.71,1.75,17.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 14:22:06.693370,34950.0,100500.0,86.0,4902.44,2805.64,1.75,34.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 14:32:21.751556,14830.0,88300.0,77.0,6337.3,5520.38,1.17,30.0,매수,모의투자 매수주문이 완료 되었습니다.,
